Datetime,Sample,Time_Step,MSLP,Latitude,Longitude
2023-07-13 12:00:00,30,7,99704.9609375,18.5,112.75
2023-07-13 12:00:00,30,8,99871.8671875,18.5,111.25
2023-07-13 12:00:00,30,9,99977.1796875,17.5,109.75
2023-07-13 12:00:00,30,10,100145.3125,18.75,108.25
2023-07-13 12:00:00,31,0,100184.3828125,18.5,121.75
2023-07-13 12:00:00,31,1,99978.109375,17.75,120.25
2023-07-13 12:00:00,31,2,99466.953125,17.25,118.75
2023-07-13 12:00:00,31,3,98948.4296875,18.25,117.25
2023-07-13 12:00:00,31,4,98842.5859375,18.75,115.75
2023-07-13 12:00:00,31,5,98880.1796875,18.25,114.25
2023-07-13 12:00:00,31,6,99161.0625,19.0,112.75
2023-07-13 12:00:00,31,7,99570.1171875,19.5,111.25
2023-07-13 12:00:00,31,8,99718.46875,20.0,109.75
2023-07-13 12:00:00,31,9,100003.828125,18.5,108.25
2023-07-13 12:00:00,32,0,100170.2265625,18.75,120.75
2023-07-13 12:00:00,32,1,99832.015625,17.5,119.25
2023-07-13 12:00:00,32,2,99437.1484375,17.75,118.0
2023-07-13 12:00:00,32,3,98935.1171875,18.75,117.75
2023-07-13 12:00:00,32,4,98312.0390625,19.0,116.25
2023-07-13 12:00:00,32,5,98047.6875,19.5,114.75
2023-07-13 12:00:00,32,6,98352.1640625,19.75,113.25
2023-07-13 12:00:00,32,7,98800.0078125,20.25,111.75
2023-07-13 12:00:00,32,8,99311.0078125,20.5,110.25
2023-07-13 12:00:00,32,9,99945.0859375,19.5,108.75
2023-07-13 12:00:00,32,10,100190.3359375,18.5,107.25
2023-07-13 12:00:00,33,0,100073.7890625,18.5,122.5
2023-07-13 12:00:00,33,1,100021.609375,17.75,122.5
2023-07-13 12:00:00,33,2,99859.7421875,19.0,121.0
2023-07-13 12:00:00,33,3,99512.6796875,19.0,119.5
2023-07-13 12:00:00,33,4,99349.0625,18.75,118.0
2023-07-13 12:00:00,33,5,99109.453125,19.5,116.5
2023-07-13 12:00:00,33,6,99429.8671875,20.75,115.0
2023-07-13 12:00:00,33,7,99715.1953125,20.75,113.5
2023-07-13 12:00:00,33,8,99921.3984375,20.25,112.25
2023-07-13 12:00:00,33,9,100090.8046875,21.0,110.75
2023-07-13 12:00:00,34,0,100129.40625,18.5,121.75
2023-07-13 12:00:00,34,1,100025.09375,18.5,120.25
2023-07-13 12:00:00,34,2,99375.9140625,17.75,118.75
2023-07-13 12:00:00,34,3,99273.21875,18.5,118.0
2023-07-13 12:00:00,34,4,98888.625,19.25,116.5
2023-07-13 12:00:00,34,5,98972.703125,19.5,115.0
2023-07-13 12:00:00,34,6,98862.09375,19.75,113.5
2023-07-13 12:00:00,34,7,99114.3359375,20.0,112.0
2023-07-13 12:00:00,34,8,99308.0625,20.0,110.5
2023-07-13 12:00:00,34,9,99613.9140625,20.5,109.0
2023-07-13 12:00:00,34,10,100146.734375,20.0,107.5
2023-07-13 12:00:00,35,0,100077.734375,18.5,121.75
2023-07-13 12:00:00,35,1,99928.125,18.5,121.75
2023-07-13 12:00:00,35,2,99864.015625,18.25,120.25
2023-07-13 12:00:00,35,3,99531.796875,18.5,118.75
2023-07-13 12:00:00,35,4,99410.6484375,19.0,117.25
2023-07-13 12:00:00,35,5,99288.71875,19.0,115.75
2023-07-13 12:00:00,35,6,99322.203125,19.25,114.25
2023-07-13 12:00:00,35,7,99610.953125,19.0,112.75
2023-07-13 12:00:00,35,8,99900.828125,19.0,111.25
2023-07-13 12:00:00,35,9,99964.5625,20.0,109.75
2023-07-13 12:00:00,35,10,100062.578125,19.75,108.25
2023-07-13 12:00:00,36,0,100109.3046875,18.5,121.75
2023-07-13 12:00:00,36,1,99984.546875,18.0,120.25
2023-07-13 12:00:00,36,2,99541.890625,18.25,118.75
2023-07-13 12:00:00,36,3,99093.6875,19.5,117.25
2023-07-13 12:00:00,36,4,98671.6015625,19.25,115.75
2023-07-13 12:00:00,36,5,98666.2734375,19.75,114.25
2023-07-13 12:00:00,36,6,98907.890625,20.25,112.75
2023-07-13 12:00:00,36,7,99548.1328125,20.5,111.25
2023-07-13 12:00:00,36,8,99710.4296875,20.25,109.75
2023-07-13 12:00:00,36,9,99989.1171875,20.5,108.25
2023-07-13 12:00:00,36,10,100212.796875,19.25,106.75
2023-07-13 12:00:00,37,0,100161.6328125,18.5,121.75
2023-07-13 12:00:00,37,1,99988.71875,17.75,120.25
2023-07-13 12:00:00,37,2,99433.4296875,18.0,118.75
2023-07-13 12:00:00,37,3,98983.875,18.5,117.75
2023-07-13 12:00:00,37,4,98746.71875,20.0,116.75
2023-07-13 12:00:00,37,5,99097.7578125,20.5,115.25
2023-07-13 12:00:00,37,6,99197.7734375,21.0,113.75
2023-07-13 12:00:00,37,7,99740.4921875,21.75,112.25
2023-07-13 12:00:00,37,8,100112.8671875,20.25,110.75
2023-07-13 12:00:00,38,0,100113.8203125,18.25,122.5
2023-07-13 12:00:00,38,1,100002.4140625,18.25,121.5
2023-07-13 12:00:00,38,2,99889.1171875,18.5,120.0
2023-07-13 12:00:00,38,3,99396.046875,19.25,118.5
2023-07-13 12:00:00,38,4,99252.8515625,19.75,117.0
2023-07-13 12:00:00,38,5,98988.2890625,20.5,115.5
2023-07-13 12:00:00,38,6,99247.515625,21.0,114.0
2023-07-13 12:00:00,38,7,99484.1953125,21.25,112.5
2023-07-13 12:00:00,38,8,100037.5078125,19.75,111.0
2023-07-13 12:00:00,39,0,100142.6875,18.75,122.0
2023-07-13 12:00:00,39,1,100051.859375,18.25,122.5
2023-07-13 12:00:00,39,2,99900.671875,19.5,121.25
2023-07-13 12:00:00,39,3,99333.75,18.5,119.75
2023-07-13 12:00:00,39,4,99257.8671875,19.25,118.25
2023-07-13 12:00:00,39,5,99275.9453125,19.5,116.75
2023-07-13 12:00:00,39,6,99109.1953125,19.75,115.25
2023-07-13 12:00:00,39,7,99141.3203125,20.25,113.75
2023-07-13 12:00:00,39,8,99237.921875,21.25,112.25
2023-07-13 12:00:00,39,9,99406.25,21.75,110.75
2023-07-13 12:00:00,39,10,100043.2890625,21.25,109.5
2023-07-13 12:00:00,40,0,100089.3671875,18.25,122.5
2023-07-13 12:00:00,40,1,99971.15625,19.0,121.25
2023-07-13 12:00:00,40,2,99644.671875,18.0,119.75
2023-07-13 12:00:00,40,3,99256.265625,18.25,118.25
2023-07-13 12:00:00,40,4,98810.2734375,19.25,116.75
2023-07-13 12:00:00,40,5,99107.578125,19.5,115.25
